ccp_aplpha,Mean Absolute Error,Mean Squared Error,Average Training Accuracy,Average Test Accuracy
0.001,0.0,0.0,1.0,1.0
0.002,0.0,0.0,1.0,1.0
0.003,0.0,0.0,1.0,1.0
0.004,0.0,0.0,1.0,1.0
0.005,0.0,0.0,1.0,1.0
0.006,0.0,0.0,1.0,1.0
0.007,0.0,0.0,1.0,1.0
0.008,0.0,0.0,1.0,1.0
0.009,0.0,0.0,1.0,1.0
0.01,0.0,0.0,1.0,1.0
0.011,0.0,0.0,1.0,1.0
0.012,0.0,0.0,1.0,1.0
0.013,0.0,0.0,1.0,1.0
0.014,0.0,0.0,1.0,1.0
0.015,0.006433472448185612,0.006433472448185612,0.9935806748249275,0.9935665275518144
