min_samples_split,Average Training Score,Average Test Score,Mean Absolute Error,Mean Squared Error
2,1.0,0.7777345262359814,126.56694666478036,138183.77369137722
4,0.9922416091123244,0.7869531428278042,124.53568590695811,132550.41609055825
6,0.9817638129510797,0.7998004121006874,121.52247326754852,125470.83812214158
8,0.9721419448540282,0.8035512061970363,120.93745380241648,122810.47029029217
10,0.9637020924604475,0.8138916413130648,117.55412402625218,115329.57655135731
12,0.9565215959900858,0.819478577638578,117.27173895313345,113968.81228851576
14,0.9498479937238924,0.8227822318687774,116.04790750022126,111099.92316078088
16,0.9457210008603834,0.8282835955467899,114.75820955709442,107943.06745789674
18,0.940407204167626,0.8307314785601367,113.57862723753142,105162.5225362922
20,0.9369543739915613,0.8334496160021754,113.08066494797349,104545.15799323478
22,0.933282352662457,0.8369102609629755,111.96695832271958,101588.56706083589
24,0.9306371303738782,0.8395768974615823,111.47628185439699,100110.89172687066
26,0.9274908877408301,0.8425337614816473,110.36102701518617,97797.05925342339
28,0.9248469172036771,0.8437408987093862,110.22330383707592,97302.31304799864
30,0.9222901508737678,0.8438859122621629,110.49998158746928,97620.69190433054
32,0.9204272742621751,0.8442510098433103,110.97551876727498,97974.64012261387
34,0.9186727897178596,0.8458451814100905,110.02032489859816,96153.44571109305
36,0.9166226296699541,0.8478312632404688,109.64407686232553,95008.66484653689
38,0.9153415231794428,0.8481260938125679,109.69607721560456,95214.58016115897
40,0.9141942715220713,0.8486149722785346,109.30509968669546,94312.22424287414
42,0.9119805315791976,0.851559858760688,108.68650422173314,92814.72606817275
44,0.9108937388226812,0.8501706659534614,108.83947519554734,93743.84578696058
46,0.9094677079452982,0.8504284508866997,109.14081849747458,93361.85612047547
48,0.9088145388625108,0.8508837984298576,108.8517515864831,93223.24160175338
50,0.9067485628807253,0.8538793466631459,108.8319576285354,92204.0136868486
52,0.9059282195785375,0.8551190667561086,107.71436402698275,90791.36729697027
54,0.9046300885602869,0.8574053325061298,106.9913837712322,89783.142982427
56,0.9043041856327125,0.8551293033381103,107.70489236254646,89960.43690694027
58,0.903184484492305,0.8550482981735609,107.97060905110034,90741.2879380496
60,0.902247280590746,0.8554923291783376,107.91509927097025,90168.17614795227
62,0.9016209072107497,0.8568775957273216,107.8770458088031,89640.13211523721
64,0.9004404475300761,0.8568729335317018,107.50264977346721,89728.87366299212
66,0.9003560729986113,0.8567148269582106,107.37678494284997,89213.05287148358
68,0.8989776586554499,0.8582481801034365,107.10629926018782,88514.17392987738
70,0.8985244221964406,0.8577724194071408,107.38387931751012,88848.3060792205
72,0.8978689017694099,0.857848297062592,107.70081716399338,89140.8294775523
74,0.8969677476038431,0.8601422912774312,106.47716379885212,86942.09327455449
76,0.896623651711222,0.8590121216387535,107.27401795842339,88325.04468560459
78,0.8965098128077859,0.8585743970402367,107.20028545460427,88263.93089328539
80,0.8958238434318094,0.858839670328609,107.15943331422181,87936.31687571347
82,0.8945114170565871,0.859078129170015,106.82405978041034,87572.3537917138
84,0.8944509338745135,0.8610391350546942,106.56807077808564,87044.41877120479
86,0.8940083703475782,0.8592911941587497,107.225602938648,88386.27207656528
88,0.8939181421648843,0.8611987976153583,107.01608113434375,87284.23021188962
90,0.8933668394978815,0.8603867207089465,106.34418326948621,86428.99235519108
92,0.892628493356945,0.8605903694426301,107.03552350190682,87335.82944387867
94,0.8920771152124931,0.8600471619854078,106.7721351323258,87054.18166587857
96,0.8917589999927156,0.8604658753691027,106.85667949958179,86718.72385401113
98,0.891309384507902,0.8608661273067957,107.1354653977688,87658.42804037825
