min_samples_split,Average Training Score,Average Test Score,MAE
2,1.0,0.7914317203017174,119.69473851365657
4,0.993199405618088,0.7961359683385587,115.62651739713458
6,0.9836892734944355,0.8043236604034483,115.1397037546757
8,0.9745414741935656,0.8145307498180474,113.87231657642943
10,0.9675359422986848,0.8190095256674548,111.50517448386653
12,0.9600175185498705,0.8274842432468029,109.85480752749967
14,0.9540892208711906,0.8338279194671315,108.93116423901809
16,0.950258753068737,0.8341780749935601,110.96622053870095
18,0.9456535943217066,0.8391829415980631,102.95071944233206
20,0.9417043766098926,0.8440203156103824,103.40466494730505
22,0.93889819474806,0.8446185830336266,108.36682248713127
24,0.9360297639748296,0.8463392410040876,106.19342354359924
26,0.9330452423589494,0.8503387949418029,102.28449540634404
28,0.9307632880865588,0.851445370431198,102.53940073713814
30,0.9285416028020588,0.8540812103415651,99.92951665022262
32,0.9268409638229593,0.8546658514488994,102.75947453678138
34,0.9249801646170808,0.8543030959212523,103.07013594116486
36,0.9234543567226317,0.8561665750874241,104.30921251088327
38,0.9213984724510766,0.8585797724904036,103.41414476272728
40,0.9201501638294763,0.8598198192724151,99.9742770541516
42,0.9196800901125046,0.8583964056085437,103.09235302193547
44,0.9177683587333576,0.8605563092218379,101.18318386827023
46,0.9162543673716564,0.8627600767301571,101.35830124739223
48,0.91534957448649,0.8641401148026804,99.59061692728088
50,0.9141921564036869,0.863727567667677,99.3273759328644
52,0.9130782404021291,0.8656503959448006,101.79984438224942
54,0.9121696186849597,0.8645881145151556,99.0909246787189
56,0.9116048215443009,0.8647742900235784,101.56991457604343
58,0.9106507811267466,0.8649450027600493,100.89464388328788
60,0.9105026098193303,0.8651311579038653,98.82557431192606
62,0.9090202168734495,0.8651303932694538,100.16570783253098
64,0.9087578193777913,0.8663844696406979,100.16603669292611
66,0.9081060951677784,0.8657955393323169,100.41155411244388
68,0.9070457324063754,0.8667049182558019,98.71687797112067
70,0.9066341978359935,0.8674865123757913,97.79479133449013
72,0.9056026275707477,0.867433047843206,100.42027296728142
74,0.9057836570733123,0.8677985820310221,97.727402164432
76,0.9042827185919347,0.870206729447772,95.86629082080854
78,0.9043858357607718,0.8667414186597695,100.47828114221124
80,0.9032640474042429,0.8681906181717206,99.37126532767076
82,0.9032659171307158,0.8668521000679762,99.94199441381738
84,0.9024407264984058,0.8688234973310311,100.34345387084294
86,0.9026304832818918,0.8693110732172243,97.68756049486251
88,0.9024216830881662,0.869080605551194,98.5320404163354
90,0.9011242699047577,0.8715928110590561,101.91016588525378
92,0.9010831694098809,0.8699946017032147,98.53112989152682
94,0.9003890637717131,0.8720145864233612,97.03926831371417
96,0.9001111179500697,0.871075241126762,97.10464502737794
98,0.8993548132343496,0.8715981071088195,98.57435439544894
