ccp_aplpha,Mean Absolute Error,Mean Squared Error,Average Training Accuracy,Average Test Accuracy
0.001,127.41898774214799,139575.11384836884,0.9999877304987432,0.7767371254146777
0.002,126.27633427871812,136879.3471683596,0.9999750907366616,0.7808432426783035
0.003,126.7712314286219,139829.4870146874,0.9999622633073291,0.7748345752958395
0.004,126.21981583235979,138197.42610247992,0.9999492986037681,0.7776406778364768
0.005,124.94432223139601,136029.39836666672,0.9999368334453553,0.7819957674358263
0.006,126.71452253625148,139747.2961962287,0.9999255463100887,0.7769591828280102
0.007,125.96601023127803,138453.2154401772,0.9999145042018126,0.7786999785843031
0.008,125.56610364209743,137898.30147165398,0.9999052806779705,0.7779309097006875
0.009,125.16518001531634,137083.43415349186,0.9998953792452271,0.7798452429864094
0.01,124.9076207898369,136063.27302111182,0.9998872066475517,0.7814156305630493
0.011,125.22439337541365,136681.66680568535,0.9998793491036245,0.7819663258905271
0.012,125.35503950930683,137326.09552456875,0.9998721855871733,0.7803479172435053
0.013,125.46031505054825,137663.25376920152,0.9998658462131645,0.779434174832324
0.014,125.89962182762345,139004.92977134208,0.999858587544329,0.7777069500577689
0.015,124.76861116237004,136882.44610091182,0.9998511109137048,0.7808185283418709
