Alpha,Mean Absolute Error,Mean Squared Error,Average Training Accuracy,Average Test Accuracy
0.1,144.08345620750796,109397.82924343887,0.7790963630920617,0.7762235777152481
0.1,143.6514300508,109027.28917660544,0.7778186238874578,0.7734757096882112
0.1,143.95507983308144,109012.15813604467,0.8161144298540913,0.8135574472431951
0.1,144.02290089377482,109326.14333296832,0.7895713945525491,0.7858587851237718
0.1,143.45216132130582,108387.28605292042,0.8085301172850035,0.8066526270124259
0.1,143.12982512382737,108014.57680921818,0.785220490294743,0.7805145031557822
0.1,143.16055010369104,107671.14477101695,0.7887631543202821,0.7870512597998509
0.1,144.0144963813541,109106.95713834646,0.7811606905725816,0.7790243532683652
0.1,143.94509031933575,108786.96282394502,0.805584519716408,0.8025778394322242
0.1,143.73744823657015,108986.49955921373,0.7952238114673296,0.7931455734237547
